CustomerID,TotalInvestments,TotalAmount,AvgAmount,TotalROI,AvgROI,FirstInvestment,LastInvestment,DaysActive,IsChurnRisk,InvestmentFrequency,ROI_Ratio,Gender,Age,Region,RiskProfile,JoinDate,PreferredInvestmentType,CustomerAgeDays,CustomerAgeMonths,CLV,Segment
INV00050,3,29461.65,9820.550000000001,10733.83,3577.943333333333,2021-12-09,2023-06-20,558,True,279.0,36.43322760266312,Female,32,Port Harcourt,Medium,2020-05-26,Crypto,1816,59.65834428383705,179.92168788546257,2.0
INV00051,8,89676.1,11209.5125,-9330.73,-1166.34125,2021-10-10,2024-09-28,1084,False,154.85714285714286,-10.404923942945778,Female,43,Lagos,Medium,2021-04-29,Crypto,1478,48.55453350854139,-192.17010906630583,0.0
INV00052,5,33632.1,6726.42,1361.97,272.394,2023-09-06,2024-10-05,395,False,98.75,4.049613315850036,Female,56,Port Harcourt,Low,2023-07-19,Real Estate,667,21.911957950065702,62.156471964017996,0.0
INV00053,2,4721.77,2360.885,148.34,74.17,2023-02-13,2024-10-25,620,False,620.0,3.1416185032307795,Male,53,Port Harcourt,High,2022-09-30,Fixed Income,959,31.50459921156373,4.708518873826904,1.0
INV00054,6,57445.85,9574.308333333332,3297.75,549.625,2022-03-30,2024-10-07,922,False,184.4,5.740623561144973,Female,27,Enugu,Medium,2021-02-15,Real Estate,1551,50.9526938239159,64.72179883945842,0.0
INV00055,4,23940.65,5985.1625,1578.6799999999998,394.66999999999996,2021-01-12,2024-08-04,1300,False,433.3333333333333,6.594140092269842,Male,34,Lagos,High,2020-06-07,Fixed Income,1804,59.26412614980289,26.63803725055432,1.0
INV00056,6,54438.57,9073.095,2672.54,445.42333333333335,2023-05-01,2024-12-03,582,False,116.4,4.909276639706003,Male,27,Lagos,Medium,2023-04-19,Fixed Income,758,24.901445466491456,107.32469340369394,0.0
INV00057,6,46022.14,7670.356666666667,1609.43,268.23833333333334,2023-11-19,2024-12-14,391,False,78.2,3.4970777108582958,Female,23,Lagos,Medium,2023-10-21,Fixed Income,573,18.823915900131404,85.49921326352532,0.0
INV00058,4,25755.42,6438.855,-4674.23,-1168.5575,2021-03-21,2023-08-15,877,True,292.3333333333333,-18.14852951339951,Male,27,Abuja,Medium,2021-01-06,Crypto,1591,52.26675427069645,-89.43027102451288,1.0
INV00059,1,19111.12,19111.12,951.08,951.08,2024-02-13,2024-02-13,0,True,,4.976579080660893,Male,43,Lagos,Medium,2023-03-24,Mutual Fund,784,25.755584756898816,36.92713673469388,
INV00060,5,43079.66,8615.932,2506.79,501.358,2022-02-09,2024-11-07,1002,False,250.5,5.818964216523528,Male,33,Enugu,Low,2021-12-21,Mutual Fund,1242,40.80157687253614,61.43855684380032,0.0
INV00061,2,36220.93,18110.465,4020.1,2010.05,2021-10-16,2021-10-20,4,True,4.0,11.098831531934712,Male,45,Port Harcourt,Medium,2021-01-25,Real Estate,1572,51.642575558475684,77.8446844783715,3.0
INV00062,7,71905.42,10272.202857142856,3491.31,498.75857142857143,2020-09-29,2024-11-25,1518,False,253.0,4.855419800065141,Male,67,Lagos,Low,2020-09-12,Fixed Income,1707,56.07752956636005,62.25862706502637,0.0
INV00063,4,102892.84,25723.21,3728.67,932.1675,2023-11-05,2024-12-19,410,False,136.66666666666666,3.6238381601674132,Female,20,Enugu,High,2023-06-22,Real Estate,694,22.798948751642573,163.54569855907783,3.0
INV00064,6,78735.28,13122.546666666667,6145.91,1024.3183333333334,2021-01-22,2024-09-24,1341,False,268.2,7.805789221807556,Male,31,Port Harcourt,High,2020-12-25,Real Estate,1603,52.660972404730614,116.70711191515908,0.0
INV00065,5,33991.97,6798.394,-7666.7699999999995,-1533.3539999999998,2023-04-22,2024-08-10,476,False,119.0,-22.554650407140272,Female,20,Lagos,Low,2022-08-08,Crypto,1012,33.24572930354796,-230.60916877470356,0.0
INV00066,6,86147.57,14357.928333333335,226.6199999999999,37.76999999999998,2023-10-23,2024-09-09,322,False,64.4,0.2630602348969331,Male,54,Kano,Low,2023-02-27,Real Estate,809,26.576872536136662,8.526962669962913,0.0
INV00067,3,23347.79,7782.596666666667,4143.96,1381.32,2023-06-08,2023-10-15,129,True,64.5,17.748831902291396,Male,65,Kano,Low,2021-07-09,Crypto,1407,46.222076215505915,89.65326396588486,1.0
INV00068,3,102631.08,34210.36,7385.049999999999,2461.683333333333,2023-06-06,2024-06-19,379,False,189.5,7.195724725882256,Female,54,Kano,Low,2023-04-25,Crypto,752,24.704336399474375,298.93739627659573,3.0
INV00069,4,84611.23,21152.8075,5181.07,1295.2675,2023-11-20,2024-11-22,368,False,122.66666666666667,6.12338338539695,Female,26,Enugu,Medium,2023-10-13,Fixed Income,581,19.086727989487514,271.44883098106715,3.0
INV00070,3,22676.09,7558.696666666667,-5841.009999999999,-1947.003333333333,2022-03-15,2024-09-24,924,False,462.0,-25.758453066644204,Female,24,Abuja,Medium,2021-11-26,Crypto,1267,41.62286465177398,-140.3317635359116,1.0
INV00071,2,27486.09,13743.045,899.0,449.5,2024-04-18,2024-08-10,114,False,114.0,3.270745311537581,Female,28,Abuja,High,2021-06-21,Mutual Fund,1425,46.81340341655716,19.203901754385967,3.0
INV00072,6,26398.87,4399.8116666666665,1283.4199999999998,213.9033333333333,2021-04-14,2024-11-28,1324,False,264.8,4.8616474871841096,Male,36,Kano,Low,2021-03-10,Crypto,1528,50.19710906701708,25.56760785340314,0.0
INV00073,4,39297.94,9824.485,23205.48,5801.37,2023-11-29,2024-12-10,377,False,125.66666666666667,59.05011814868667,Male,68,Port Harcourt,High,2023-08-22,Crypto,633,20.795006570302235,1115.9159734597156,2.0
INV00074,2,27260.69,13630.345,4719.93,2359.965,2023-09-21,2024-01-26,127,True,127.0,17.314051845349475,Female,57,Abuja,Medium,2021-06-14,Crypto,1432,47.04336399474376,100.33147290502794,3.0
INV00075,5,18264.02,3652.804,263.29999999999995,52.65999999999999,2020-11-01,2024-02-08,1194,True,298.5,1.4416322364955796,Male,40,Kano,Medium,2020-02-21,Crypto,1911,62.779237844940866,4.194061747776033,1.0
INV00076,1,24910.2,24910.2,1087.27,1087.27,2024-06-29,2024-06-29,0,False,,4.364758211495692,Male,37,Kano,Medium,2022-07-29,Fixed Income,1022,33.5742444152431,32.38404970645792,
INV00077,4,20730.9,5182.725,1249.7,312.425,2023-10-23,2024-07-31,282,False,94.0,6.028199451060976,Male,27,Port Harcourt,Medium,2023-08-21,Mutual Fund,634,20.827858081471746,60.00136908517351,0.0
INV00078,2,57558.96,28779.48,9475.21,4737.605,2022-12-24,2023-11-29,340,True,340.0,16.461746355389327,Female,33,Kano,Low,2022-12-16,Crypto,882,28.97503285151117,327.01291655328794,3.0
INV00079,4,83156.75,20789.1875,2904.770000000001,726.1925000000002,2021-12-10,2024-04-19,861,True,287.0,3.493125933853837,Male,21,Kano,Low,2020-12-08,Crypto,1620,53.21944809461235,54.58098691358026,3.0
INV00080,2,4995.24,2497.62,295.0,147.5,2023-02-11,2023-05-02,80,True,80.0,5.905622152288979,Male,43,Port Harcourt,Low,2021-05-30,Fixed Income,1447,47.53613666228647,6.205805114029025,1.0
INV00081,3,44501.31999999999,14833.77333333333,4641.820000000001,1547.2733333333335,2023-08-08,2024-12-18,498,False,249.0,10.430746773354143,Male,20,Port Harcourt,Low,2022-12-27,Stocks,871,28.613666228646515,162.22388151549947,3.0
INV00082,3,28323.33,9441.11,2038.7299999999998,679.5766666666666,2020-08-31,2022-10-05,765,True,382.5,7.198058985295866,Male,39,Lagos,High,2020-05-19,Fixed Income,1823,59.88830486202365,34.04220581459133,1.0
INV00083,7,53321.86,7617.408571428571,8276.59,1182.3700000000001,2021-11-02,2024-11-16,1110,False,185.0,15.521945408506005,Male,69,Enugu,Medium,2021-10-23,Mutual Fund,1301,42.73981603153745,193.65057617217525,0.0
INV00084,8,62467.8,7808.475,9570.91,1196.36375,2021-06-04,2024-05-29,1090,False,155.71428571428572,15.321349559292946,Male,68,Lagos,Medium,2021-04-18,Crypto,1489,48.91590013140604,195.66051067830762,0.0
INV00085,5,70042.08,14008.416000000001,3031.34,606.268,2024-04-07,2024-09-30,176,False,44.0,4.327884037709903,Male,44,Lagos,Medium,2023-10-10,Real Estate,584,19.185282522996058,158.00340684931507,0.0
INV00086,3,52905.399999999994,17635.13333333333,1021.02,340.34,2022-09-15,2024-10-12,758,False,379.0,1.929897515187486,Female,45,Enugu,High,2020-01-04,Real Estate,1959,64.35611038107753,15.865160183767228,3.0
INV00087,4,38242.58,9560.645,1493.59,373.3975,2023-10-26,2024-10-07,347,False,115.66666666666667,3.905568086671976,Female,57,Kano,Low,2023-07-07,Mutual Fund,679,22.306176084099867,66.9585855670103,0.0
INV00088,7,56595.270000000004,8085.038571428572,-2042.9100000000003,-291.8442857142858,2022-05-11,2024-09-27,870,False,145.0,-3.6096832827195633,Male,20,Port Harcourt,Medium,2022-01-25,Mutual Fund,1207,39.65177398160315,-51.521276222038125,0.0
INV00089,6,88767.78,14794.63,6557.599999999999,1092.9333333333332,2022-11-17,2024-06-21,582,False,116.4,7.387365100264982,Male,54,Lagos,Low,2022-10-13,Mutual Fund,946,31.077529566360052,211.00776321353064,0.0
INV00090,3,34403.57,11467.856666666667,1741.3400000000001,580.4466666666667,2023-11-27,2024-08-09,256,False,128.0,5.061509604962509,Male,66,Enugu,Medium,2023-05-31,Fixed Income,716,23.52168199737188,74.03127039106145,1.0
INV00091,6,131011.53,21835.255,15980.550000000001,2663.425,2021-07-06,2023-05-27,690,True,138.0,12.197819535425623,Female,68,Enugu,Medium,2020-09-19,Crypto,1700,55.84756898817346,286.1458482352941,3.0
INV00092,5,32686.4,6537.280000000001,1076.39,215.27800000000002,2021-12-26,2024-11-21,1061,False,265.25,3.2930821381369624,Female,51,Abuja,High,2020-09-22,Fixed Income,1697,55.74901445466491,19.307785268120217,0.0
INV00093,3,70072.49,23357.49666666667,3695.0699999999997,1231.6899999999998,2023-03-14,2024-04-18,401,True,200.5,5.27321064229343,Male,44,Abuja,Medium,2023-01-16,Crypto,851,27.95663600525624,132.17148155111633,3.0
INV00094,2,34415.979999999996,17207.989999999998,980.31,490.155,2024-02-04,2024-06-10,127,False,127.0,2.848415183876792,Male,45,Kano,Low,2022-11-04,Fixed Income,924,30.354796320630747,32.29506103896104,3.0
INV00095,6,51075.56,8512.593333333332,7358.3,1226.3833333333334,2021-07-14,2024-01-18,918,True,183.6,14.406694708780481,Female,36,Port Harcourt,Medium,2021-04-12,Fixed Income,1495,49.11300919842313,149.8238474916388,0.0
INV00096,4,41247.49,10311.8725,4934.86,1233.715,2022-06-19,2024-02-06,597,True,199.0,11.964024962488626,Male,25,Enugu,Medium,2022-06-08,Real Estate,1073,35.2496714848883,139.99733308480896,1.0
INV00097,1,9788.58,9788.58,717.46,717.46,2023-11-07,2023-11-07,0,True,,7.329561591160312,Other,24,Kano,Medium,2023-05-07,Real Estate,740,24.31011826544021,29.512814054054058,
INV00098,1,19068.22,19068.22,709.51,709.51,2023-03-23,2023-03-23,0,True,,3.72090315719034,Male,20,Abuja,Medium,2020-05-20,Fixed Income,1822,59.855453350854134,11.853723600439078,
INV00099,8,100905.39,12613.17375,23812.510000000002,2976.5637500000003,2021-03-30,2024-12-30,1371,False,195.85714285714286,23.59884838659263,Female,57,Abuja,Low,2021-03-14,Stocks,1524,50.06570302233902,475.6251997375329,0.0
INV00100,1,4100.99,4100.99,213.86,213.86,2023-05-22,2023-05-22,0,True,,5.214838368296436,Male,38,Abuja,High,2021-06-23,Mutual Fund,1423,46.747700394218136,4.574770484891076,
INV00101,3,56984.04,18994.68,2630.66,876.8866666666667,2022-12-09,2024-05-14,522,True,261.0,4.616485598423699,Male,29,Enugu,Low,2022-03-17,Stocks,1156,37.97634691195795,69.27101245674741,3.0
INV00102,3,19942.67,6647.556666666666,3103.65,1034.55,2024-09-06,2024-11-24,79,False,39.5,15.562860940887054,Male,43,Kano,Medium,2023-11-26,Crypto,537,17.641261498028907,175.9312960893855,1.0
INV00103,2,25794.85,12897.425,2131.24,1065.62,2023-05-10,2024-10-26,535,False,535.0,8.262269406490056,Female,59,Abuja,Medium,2022-05-17,Fixed Income,1095,35.972404730617605,59.24652566210046,1.0
INV00104,5,65514.299999999996,13102.859999999999,3640.97,728.194,2021-08-13,2024-08-03,1086,False,271.5,5.557519503375599,Female,48,Enugu,High,2020-04-09,Mutual Fund,1863,61.202365308804204,59.490674610842724,0.0
INV00105,4,53378.479999999996,13344.619999999999,13371.97,3342.9925,2020-10-05,2024-08-14,1409,False,469.6666666666667,25.051237877137005,Female,30,Enugu,Low,2020-07-12,Crypto,1769,58.1143232588699,230.09766353872246,2.0
INV00106,4,30479.73,7619.9325,82.13999999999999,20.534999999999997,2023-02-25,2024-08-12,534,False,178.0,0.26949057619604894,Male,42,Lagos,High,2022-03-26,Real Estate,1147,37.680683311432325,2.179896774193548,1.0
INV00107,7,56062.2,8008.885714285714,7682.5599999999995,1097.5085714285713,2021-12-20,2024-09-29,1014,False,169.0,13.703636318232249,Male,39,Abuja,Low,2021-05-08,Crypto,1469,48.25886990801577,159.19477631041525,0.0
INV00108,3,13061.88,4353.96,2350.8599999999997,783.6199999999999,2020-12-04,2023-08-01,970,True,485.0,17.997868606969288,Female,47,Port Harcourt,Low,2020-01-17,Mutual Fund,1946,63.92904073587385,36.772959095580674,1.0
INV00109,4,9595.02,2398.755,905.7,226.425,2021-10-20,2022-08-18,302,True,100.66666666666667,9.439271622153992,Female,41,Lagos,Medium,2020-12-26,Real Estate,1602,52.6281208935611,17.209430711610487,1.0
INV00110,6,57837.07,9639.511666666667,5911.97,985.3283333333334,2023-04-19,2024-12-26,617,False,123.4,10.221766074941211,Male,43,Port Harcourt,Low,2023-02-07,Stocks,829,27.233902759526938,217.08126272617613,0.0
INV00111,4,60145.2,15036.3,3036.1499999999996,759.0374999999999,2023-04-07,2024-10-29,571,False,190.33333333333334,5.048033758304902,Female,46,Abuja,Medium,2023-01-15,Stocks,852,27.989487516425754,108.47465492957745,3.0
INV00112,4,33546.26,8386.565,1126.46,281.615,2020-08-08,2024-05-03,1364,True,454.6666666666667,3.3579302133829523,Female,47,Port Harcourt,Low,2020-02-16,Fixed Income,1916,62.943495400788436,17.896368684759917,1.0
INV00113,6,119798.08,19966.346666666668,-34699.63,-5783.2716666666665,2021-07-25,2023-11-06,834,True,166.8,-28.965096936445057,Male,52,Kano,High,2020-09-28,Mutual Fund,1691,55.55190538764783,-624.634380366647,3.0
INV00114,4,18144.48,4536.12,232.81000000000006,58.202500000000015,2024-01-09,2024-09-05,240,False,80.0,1.2830899535285667,Male,60,Kano,Low,2023-09-01,Fixed Income,623,20.466491458607095,11.37517881219904,0.0
INV00115,3,5693.030000000001,1897.676666666667,-207.4,-69.13333333333334,2022-02-22,2024-03-25,762,True,381.0,-3.64305123984943,Male,24,Kano,Low,2020-10-23,Crypto,1666,54.730617608409986,-3.7894693877551022,1.0
INV00116,1,2183.52,2183.52,131.15,131.15,2024-06-04,2024-06-04,0,False,,6.0063567084340885,Male,39,Kano,Low,2023-12-04,Real Estate,529,17.378449408672797,7.546703213610587,
INV00117,7,74814.71,10687.815714285714,9108.59,1301.2271428571428,2023-10-20,2024-12-09,416,False,69.33333333333333,12.174865076667409,Male,35,Enugu,Medium,2023-08-18,Crypto,637,20.92641261498029,435.2676288854003,0.0
INV00118,3,6515.7,2171.9,141.52,47.17333333333334,2024-04-28,2024-09-07,132,False,66.0,2.1719845910646596,Female,35,Abuja,Medium,2023-12-28,Fixed Income,505,16.590013140604466,8.530433267326734,1.0
INV00119,3,20448.34,6816.113333333334,2710.1400000000003,903.3800000000001,2024-02-05,2024-09-28,236,False,118.0,13.253594179283015,Female,69,Enugu,Medium,2023-12-14,Crypto,519,17.04993429697766,158.95310520231217,1.0
INV00120,1,3011.18,3011.18,113.69,113.69,2024-05-26,2024-05-26,0,False,,3.7755962778711334,Male,67,Lagos,Medium,2023-11-10,Mutual Fund,553,18.166885676741128,6.258089692585896,
INV00121,4,35489.51,8872.3775,2073.0699999999997,518.2674999999999,2022-09-22,2023-10-10,383,True,127.66666666666667,5.841359883526144,Other,43,Port Harcourt,Low,2022-09-06,Real Estate,983,32.29303547963206,64.19557558494405,0.0
INV00122,6,25973.31,4328.885,4776.45,796.0749999999999,2022-05-11,2024-11-16,920,False,184.0,18.389839415923497,Female,45,Enugu,Low,2022-04-16,Fixed Income,1126,36.990801576872535,129.12534458259324,0.0
INV00123,2,47881.91,23940.955,-21320.9,-10660.45,2022-09-22,2024-11-27,797,False,797.0,-44.52809004486246,Male,49,Kano,High,2022-07-15,Crypto,1036,34.03416557161629,-626.4557876447877,3.0
INV00124,3,26840.57,8946.856666666667,1519.12,506.3733333333333,2022-12-27,2024-11-08,682,False,341.0,5.659790384481402,Female,64,Lagos,Medium,2020-03-01,Fixed Income,1902,62.48357424441524,24.31230956887487,1.0
INV00125,6,82518.14,13753.023333333333,3433.8,572.3000000000001,2021-03-02,2023-12-01,1004,True,200.8,4.161266843872148,Male,30,Port Harcourt,High,2020-11-17,Crypto,1641,53.90932982917214,63.6958391224863,0.0
INV00126,2,23160.949999999997,11580.474999999999,-1774.4,-887.2,2023-02-16,2023-03-29,41,True,41.0,-7.6611710659536865,Male,54,Port Harcourt,Low,2022-02-05,Crypto,1196,39.2904073587385,-45.161150501672246,1.0
